"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"Tottenham","Everton","Away","Pre",63,1,4,71,28,67,39,8,54,8,54,46,"Top 6","Not Top 6"
"Crystal Palace","Chelsea","Away","Pre",90,0,12,49,-2,51,53,3,72,24,63,39,"Not Top 6","Top 6"
"West Ham","Burnley","Away","Pre",90,0,10,52,-3,52,55,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Bournemouth","Newcastle","Away","Pre",14,1,14,45,-14,56,70,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Everton","Southampton","Away","Pre",4,1,8,54,8,54,46,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Arsenal","Leicester","Away","Pre",90,0,5,70,22,73,51,9,52,3,51,48,"Top 6","Not Top 6"
"Brighton","Man United","Away","Pre",64,1,17,36,-25,35,60,6,66,11,65,54,"Not Top 6","Top 6"
"Man City","Liverpool","Away","Pre",78,1,1,98,72,95,23,2,97,67,89,22,"Top 6","Top 6"
"Tottenham","West Ham","Away","Pre",36,1,4,71,28,67,39,10,52,-3,52,55,"Top 6","Not Top 6"
"Southampton","Arsenal","Away","Pre",8,1,16,39,-20,45,65,5,70,22,73,51,"Not Top 6","Top 6"
"Wolves","Bournemouth","Away","Pre",21,1,7,57,1,47,46,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Leicester","Brighton","Away","Pre",64,1,9,52,3,51,48,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Liverpool","Crystal Palace","Away","Pre",49,1,2,97,67,89,22,12,49,-2,51,53,"Top 6","Not Top 6"
"Burnley","Watford","Away","Pre",53,1,15,40,-23,45,68,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Chelsea","Man City","Away","Pre",21,1,3,72,24,63,39,1,98,72,95,23,"Top 6","Top 6"
"Man City","Newcastle","Away","Pre",22,1,1,98,72,95,23,13,45,-6,42,48,"Top 6","Not Top 6"
